date,portfolio_value
2014-03-13,336340.55
2014-03-14,332703.17
2014-03-17,335330.58
2014-03-18,347385.75
2014-03-19,341667.28
2014-03-20,344346.14
2014-03-21,331724.15
2014-03-24,319339.99
2014-03-25,322290.88
2014-03-26,327276.43
2014-03-27,327276.43
2014-03-28,327276.43
2014-03-31,326444.71
2014-04-01,336591.39
2014-04-02,336591.39
2014-04-03,336664.87
2014-04-04,336591.39
2014-04-07,333139.04
2014-04-08,342443.30
2014-04-09,346071.17
2014-04-10,346071.17
2014-04-11,346071.17
2014-04-14,345319.14
2014-04-15,348765.93
2014-04-16,357728.04
2014-04-17,357806.13
2014-04-21,362864.53
2014-04-22,371759.67
2014-04-23,361637.48
2014-04-24,372311.76
2014-04-25,354337.17
2014-04-28,353429.06
2014-04-29,363236.45
2014-04-30,363236.45
2014-05-01,363157.01
2014-05-02,363236.45
2014-05-05,375405.02
2014-05-06,360890.98
2014-05-07,357645.44
2014-05-08,354093.29
2014-05-09,354170.76
2014-05-12,364724.92
2014-05-13,365492.96
2014-05-14,360058.90
2014-05-15,351730.81
2014-05-16,358286.96
2014-05-19,369171.66
2014-05-20,365120.27
2014-05-21,375427.78
2014-05-22,380075.19
2014-05-23,386093.07
2014-05-27,394997.94
2014-05-28,391262.03
2014-05-29,399200.68
2014-05-30,398850.45
2014-06-02,396205.43
2014-06-03,395624.26
2014-06-04,399809.51
2014-06-05,407366.13
2014-06-06,407366.13
2014-06-09,405779.04
2014-06-10,408103.35
2014-06-11,407479.68
2014-06-12,396822.12
2014-06-13,401924.10
2014-06-16,404581.62
2014-06-17,405153.47
2014-06-18,412531.30
2014-06-19,410930.02
2014-06-20,412417.12
2014-06-23,412898.86
2014-06-24,411755.12
2014-06-25,419247.64
2014-06-26,420391.64
2014-06-27,424566.86
2014-06-30,426871.50
2014-07-01,441199.30
2014-07-02,442911.81
2014-07-03,451417.34
2014-07-07,448724.81
2014-07-08,433083.62
2014-07-09,436291.87
2014-07-10,436291.87
2014-07-11,436291.87
2014-07-14,438723.21
2014-07-15,434136.68
2014-07-16,439054.78
2014-07-17,421537.01
2014-07-18,428720.95
2014-07-21,430179.98
2014-07-22,438718.82
2014-07-23,446933.40
2014-07-24,445366.07
2014-07-25,439907.68
2014-07-28,439164.93
2014-07-29,436955.57
2014-07-30,442182.35
2014-07-31,415239.91
2014-08-01,412653.42
2014-08-04,418212.59
2014-08-05,408420.33
2014-08-06,407720.99
2014-08-07,403793.45
2014-08-08,405891.76
2014-08-11,408809.22
2014-08-12,407866.28
2014-08-13,421119.77
2014-08-14,427615.35
2014-08-15,433430.05
2014-08-18,437048.87
2014-08-19,444578.68
2014-08-20,444578.68
2014-08-21,447106.03
2014-08-22,448859.51
2014-08-25,447135.42
2014-08-26,448659.75
2014-08-27,448710.72
2014-08-28,446881.51
2014-08-29,452114.96
2014-09-02,452318.77
2014-09-03,444554.80
2014-09-04,447529.33
2014-09-05,447627.04
2014-09-08,449984.49
2014-09-09,439049.82
2014-09-10,440604.70
2014-09-11,440508.54
2014-09-12,440508.54
2014-09-15,426094.37
2014-09-16,437615.79
2014-09-17,439760.38
2014-09-18,449236.81
2014-09-19,455321.79
2014-09-22,445889.37
2014-09-23,442013.48
2014-09-24,443033.57
2014-09-25,443033.57
2014-09-26,443033.57
2014-09-29,455234.52
2014-09-30,456924.77
2014-10-01,435058.34
2014-10-02,434582.97
2014-10-03,434393.22
2014-10-06,428141.16
2014-10-07,410045.66
2014-10-08,410858.88
2014-10-09,410858.88
2014-10-10,410858.88
2014-10-13,393258.47
2014-10-14,393973.67
2014-10-15,375658.31
2014-10-16,375740.38
2014-10-17,375740.38
2014-10-20,393357.11
2014-10-21,407503.28
2014-10-22,407592.29
2014-10-23,407503.28
2014-10-24,407503.28
2014-10-27,411217.13
2014-10-28,429593.08
2014-10-29,424432.30
2014-10-30,427085.15
2014-10-31,448595.95
2014-11-03,450919.57
2014-11-04,446127.21
2014-11-05,446078.90
2014-11-06,449903.01
2014-11-07,448789.56
2014-11-10,452852.26
2014-11-11,457155.56
2014-11-12,459669.72
2014-11-13,465568.56
2014-11-14,469871.64
2014-11-17,468902.84
2014-11-18,479423.55
2014-11-19,473335.11
2014-11-20,479618.25
2014-11-21,492330.78
2014-11-24,500122.09
2014-11-25,501749.39
2014-11-26,512006.19
2014-11-28,519649.58
2014-12-01,505006.49
2014-12-02,510430.15
2014-12-03,514062.72
2014-12-04,514062.72
2014-12-05,514175.01
2014-12-08,507247.08
2014-12-09,512167.00
2014-12-10,487366.89
2014-12-11,491985.59
2014-12-12,492093.06
2014-12-15,470326.52
2014-12-16,446983.14
2014-12-17,447847.54
2014-12-18,447945.45
2014-12-19,447847.54
2014-12-22,453345.62
2014-12-23,449009.63
2014-12-24,449948.32
2014-12-26,459067.08
2014-12-29,460411.77
2014-12-30,450909.45
2014-12-31,452747.18
2015-01-02,452648.23
2015-01-05,438629.25
2015-01-06,421236.18
2015-01-07,429267.33
2015-01-08,429267.33
2015-01-09,429267.33
2015-01-12,413299.01
2015-01-13,412941.12
2015-01-14,399835.62
2015-01-15,399835.62
2015-01-16,399835.62
2015-01-20,401923.53
2015-01-21,408100.21
2015-01-22,430806.23
2015-01-23,432198.24
2015-01-26,432546.15
2015-01-27,399066.01
2015-01-28,417371.48
2015-01-29,417371.48
2015-01-30,417371.48
2015-02-02,426116.98
2015-02-03,437747.55
2015-02-04,436602.65
2015-02-05,448187.51
2015-02-06,450568.50
2015-02-09,450995.45
2015-02-10,472586.68
2015-02-11,477901.37
2015-02-12,487439.45
2015-02-13,487546.18
2015-02-17,488960.95
2015-02-18,491060.00
2015-02-19,498452.58
2015-02-20,508035.54
2015-02-23,510476.02
2015-02-24,511526.33
2015-02-25,507415.87
2015-02-26,515134.55
2015-02-27,508329.35
2015-03-02,519118.15
2015-03-03,511669.72
2015-03-04,505992.72
2015-03-05,508218.06
2015-03-06,490732.55
2015-03-09,492057.85
2015-03-10,464814.11
2015-03-11,466077.03
2015-03-12,465975.00
2015-03-13,466077.03
2015-03-16,478509.03
2015-03-17,481178.77
2015-03-18,495024.96
2015-03-19,497423.05
2015-03-20,509278.37
2015-03-23,506481.26
2015-03-24,501337.65
2015-03-25,503932.17
2015-03-26,503932.17
2015-03-27,503932.17
2015-03-30,511844.36
2015-03-31,495999.71
2015-04-01,495325.38
2015-04-02,495433.65
2015-04-06,516675.67
2015-04-07,514287.81
2015-04-08,526525.63
2015-04-09,534883.20
2015-04-10,534883.20
2015-04-13,529388.97
2015-04-14,524842.54
2015-04-15,529339.90
2015-04-16,529455.62
2015-04-17,529339.90
2015-04-20,544727.92
2015-04-21,551711.07
2015-04-22,560653.34
2015-04-23,571504.67
2015-04-24,571504.67
2015-04-27,560969.29
2015-04-28,557313.32
2015-04-29,547980.64
2015-04-30,547980.64
2015-05-01,547860.88
2015-05-04,545424.22
2015-05-05,519571.32
2015-05-06,521741.79
2015-05-07,521627.76
2015-05-08,521741.79
2015-05-11,514468.07
2015-05-12,507823.01
2015-05-13,514421.15
2015-05-14,514308.73
2015-05-15,514308.73
2015-05-18,523317.09
2015-05-19,521819.31
2015-05-20,522681.85
2015-05-21,530896.89
2015-05-22,529444.39
2015-05-26,514770.68
2015-05-27,539546.71
2015-05-28,535569.76
2015-05-29,526518.69
2015-06-01,523032.57
2015-06-02,518261.02
2015-06-03,525643.40
2015-06-04,525528.51
2015-06-05,525528.51
2015-06-08,510443.80
2015-06-09,507921.94
2015-06-10,512872.40
2015-06-11,512984.51
2015-06-12,512872.40
2015-06-15,517196.92
2015-06-16,525101.41
2015-06-17,529503.29
2015-06-18,554352.51
2015-06-19,554352.51
2015-06-22,554352.73
2015-06-23,555719.73
2015-06-24,547186.97
2015-06-25,543604.22
2015-06-26,543132.64
2015-06-29,523184.64
2015-06-30,529154.24
2015-07-01,543481.21
2015-07-02,543481.21
2015-07-06,550134.54
2015-07-07,552935.24
2015-07-08,525234.95
2015-07-09,546417.50
2015-07-10,546417.50
2015-07-13,560183.19
2015-07-14,571423.55
2015-07-15,574146.92
2015-07-16,591824.35
2015-07-17,591954.05
2015-07-20,593501.42
2015-07-21,591870.84
2015-07-22,572444.64
2015-07-23,574121.76
2015-07-24,574247.60
2015-07-27,569513.38
2015-07-28,587501.07
2015-07-29,587629.82
2015-07-30,587629.82
2015-07-31,587629.82
2015-08-03,581882.19
2015-08-04,578131.51
2015-08-05,587727.32
2015-08-06,587727.32
2015-08-07,587727.32
2015-08-10,596341.74
2015-08-11,573604.13
2015-08-12,562034.92
2015-08-13,562034.92
2015-08-14,561912.09
2015-08-17,580177.21
2015-08-18,570922.17
2015-08-19,560198.12
2015-08-20,514069.96
2015-08-21,492132.22
2015-08-24,532051.77
2015-08-25,532051.77
2015-08-26,532168.37
2015-08-27,532051.77
2015-08-28,532168.37
2015-08-31,520970.61
2015-09-01,473709.62
2015-09-02,497751.79
2015-09-03,497860.87
2015-09-04,497751.79
2015-09-08,511026.53
2015-09-09,493238.18
2015-09-10,509008.63
2015-09-11,517239.12
2015-09-14,506836.01
2015-09-15,529201.00
2015-09-16,529201.00
2015-09-17,529201.00
2015-09-18,529201.00
2015-09-21,525674.25
2015-09-22,502484.55
2015-09-23,506011.11
2015-09-24,506011.11
2015-09-25,506011.11
2015-09-28,469001.62
2015-09-29,462052.20
2015-09-30,481261.89
2015-10-01,481367.08
2015-10-02,481367.08
2015-10-05,491729.56
2015-10-06,484700.65
2015-10-07,492488.13
2015-10-08,498505.86
2015-10-09,504574.05
2015-10-12,505086.16
2015-10-13,495197.19
2015-10-14,495347.81
2015-10-15,495347.81
2015-10-16,495347.81
2015-10-19,506559.01
2015-10-20,498162.61
2015-10-21,490147.78
2015-10-22,519201.63
2015-10-23,561088.65
2015-10-26,563471.67
2015-10-27,567141.47
2015-10-28,580295.31
2015-10-29,578150.65
2015-10-30,570239.13
2015-11-02,585329.94
2015-11-03,590912.32
2015-11-04,591148.69
2015-11-05,585945.06
2015-11-06,587884.52
2015-11-09,575632.04
2015-11-10,571563.88
